"saat","tarix1","hefte","kwh"
"3PM",2014-03-24,"понедельник","0.384kwh"
"5AM",2014-08-15,"пятница","1.201kwh"
"8PM",2014-03-20,"четверг","1.523kwh"
"6PM",2014-04-23,"среда","0.424kwh"
"1AM",2014-12-19,"пятница","0.209kwh"
"5AM",2014-08-19,"вторник","1.228kwh"
"7AM",2014-11-25,"вторник","0.437kwh"
"8AM",2014-08-14,"четверг","0.523kwh"
"4PM",2014-01-25,"суббота","2.052kwh"
"4PM",2014-02-11,"вторник","0.509kwh"
"1AM",2014-07-11,"пятница","0.547kwh"
"12AM",2014-12-28,"воскресенье","0.845kwh"
"8PM",2014-04-01,"вторник","0.557kwh"
"3AM",2014-02-04,"вторник","0.283kwh"
"11PM",2014-05-11,"воскресенье","0.344kwh"
"7PM",2014-06-24,"вторник","2.948kwh"
"1AM",2014-06-19,"четверг","0.378kwh"
"8PM",2014-09-23,"вторник","0.963kwh"
"12PM",2014-07-26,"суббота","1.469kwh"
"11AM",2014-06-23,"понедельник","1.017kwh"
"9AM",2014-07-01,"вторник","0.626kwh"
"1PM",2014-02-11,"вторник","0.547kwh"
"11AM",2014-12-23,"вторник","0.578kwh"
"10PM",2014-12-20,"суббота","0.392kwh"
"10AM",2014-05-17,"суббота","0.514kwh"
"12PM",2014-04-28,"понедельник","0.147kwh"
"11PM",2014-01-21,"вторник","40.89kwh"
"12AM",2014-01-17,"пятница","0.546kwh"
"4PM",2014-10-24,"пятница","0.269kwh"
"6AM",2014-10-03,"пятница","0.626kwh"
"10PM",2014-11-15,"суббота","0.203kwh"
"2AM",2014-05-08,"четверг","0.178kwh"
"10PM",2014-04-25,"пятница","0.231kwh"
"4PM",2014-09-03,"среда","40.33kwh"
"4AM",2014-08-24,"воскресенье","0.385kwh"
"8PM",2014-03-23,"воскресенье","41.67kwh"
"1AM",2014-05-15,"четверг","40.15kwh"
"11PM",2014-10-31,"пятница","0.558kwh"
"12PM",2014-08-15,"пятница","0.552kwh"
"8AM",2014-03-15,"суббота","0.988kwh"
"6PM",2014-01-21,"вторник","2.912kwh"
"10PM",2014-10-26,"воскресенье","0.246kwh"
"8AM",2014-05-02,"пятница","0.272kwh"
"2PM",2014-11-30,"воскресенье","0.403kwh"
"6AM",2014-04-13,"воскресенье","0.245kwh"
"9PM",2014-01-17,"пятница","0.672kwh"
"9PM",2014-05-31,"суббота","0.326kwh"
"5PM",2014-12-18,"четверг","41.53kwh"
"1PM",2014-02-13,"четверг","0.432kwh"
"1PM",2014-06-17,"вторник","0.814kwh"
"11PM",2014-08-11,"понедельник","0.618kwh"
"12PM",2014-02-13,"четверг","0.594kwh"
"9PM",2014-03-14,"пятница","0.314kwh"
"2AM",2014-01-09,"четверг","40.40kwh"
"2PM",2014-12-13,"суббота","0.986kwh"
"9AM",2014-07-16,"среда","0.799kwh"
"12AM",2014-05-08,"четверг","0.245kwh"
"12AM",2014-12-25,"четверг","0.333kwh"
"4AM",2014-01-23,"четверг","0.384kwh"
"6PM",2014-11-07,"пятница","0.624kwh"
"11AM",2014-11-15,"суббота","0.289kwh"
"12AM",2014-03-05,"среда","0.266kwh"
"11PM",2014-08-13,"среда","0.612kwh"
